"Location","Income.Bin","Total","With cooking fuel","Electricity","Piped gas","Bottled gas","Other","Pct Electricity","Pct Piped gas","Pct Bottled gas","Pct Other","income_order"
"Atlanta","Total",2162.4,2157.4,1199.1,921.1,37.2,NA,55.5,42.6,1.7,NA,11
"Atlanta","Less than 10.000",160.4,160.4,102.5,50.9,NA,NA,63.9,31.7,NA,NA,1
"Atlanta","10.000 to 19.999",139.3,139.3,94.1,42.2,NA,NA,67.6,30.3,NA,NA,2
"Atlanta","20.000 to 29.999",164.2,163.2,101.2,62.1,NA,NA,61.6,37.8,NA,NA,3
"Atlanta","30.000 to 39.999",162.7,161.9,112.5,46.9,NA,NA,69.1,28.8,NA,NA,4
"Atlanta","40.000 to 49.999",177.5,176.1,98.9,71.4,NA,NA,55.7,40.2,NA,NA,5
"Atlanta","50.000 to 59.999",141.9,141.9,74.5,66.6,NA,NA,52.5,46.9,NA,NA,6
"Atlanta","60.000 to 79.999",311.1,310.2,183.5,123.1,NA,NA,59,39.6,NA,NA,7
"Atlanta","80.000 to 99.999",197,197,119.2,72.9,NA,NA,60.5,37,NA,NA,8
"Atlanta","100.000 to 119.999",186.4,186.4,104.6,78.1,NA,NA,56.1,41.9,NA,NA,9
"Atlanta","120.000 or more",521.9,520.9,208.2,306.9,NA,NA,39.9,58.8,NA,NA,10
"Boston","Total",1884.2,1883.3,885.2,901.5,96.6,NA,47,47.8,5.1,NA,11
"Boston","Less than 10.000",144.5,144.5,88,52.1,NA,NA,60.9,36.1,NA,NA,1
"Boston","10.000 to 19.999",113.7,113.7,56.7,53.1,NA,NA,49.9,46.7,NA,NA,2
"Boston","20.000 to 29.999",109.3,109.3,54,53,NA,NA,49.4,48.5,NA,NA,3
"Boston","30.000 to 39.999",112.8,112.8,51.3,57.3,NA,NA,45.5,50.8,NA,NA,4
"Boston","40.000 to 49.999",119.3,119.3,58.6,52.7,NA,NA,49.1,44.2,NA,NA,5
"Boston","50.000 to 59.999",97.7,97.7,49.5,46.2,NA,NA,50.7,47.3,NA,NA,6
"Boston","60.000 to 79.999",180.9,180.9,85.8,81.2,13.8,NA,47.4,44.9,7.6,NA,7
"Boston","80.000 to 99.999",166.1,166.1,74.7,85.5,NA,NA,45,51.5,NA,NA,8
"Boston","100.000 to 119.999",157.8,157.8,75.7,75.7,NA,NA,48,48,NA,NA,9
"Boston","120.000 or more",682.1,681.1,290.8,344.8,45.5,NA,42.6,50.5,6.7,NA,10
"Chicago","Total",3554.7,3549.1,711.4,2809,22.2,NA,20,79,0.6,NA,11
"Chicago","Less than 10.000",260.1,260.1,82.5,175,NA,NA,31.7,67.3,NA,NA,1
"Chicago","10.000 to 19.999",249.8,249.8,72.5,177.3,NA,NA,29,71,NA,NA,2
"Chicago","20.000 to 29.999",227.5,225.5,55.5,168.1,NA,NA,24.4,73.9,NA,NA,3
"Chicago","30.000 to 39.999",267.8,266,65.2,199,NA,NA,24.3,74.3,NA,NA,4
"Chicago","40.000 to 49.999",241.5,241.5,48,191.8,NA,NA,19.9,79.4,NA,NA,5
"Chicago","50.000 to 59.999",248.7,248.7,60.5,188.3,NA,NA,24.3,75.7,NA,NA,6
"Chicago","60.000 to 79.999",449.4,449.4,90.9,354.1,NA,NA,20.2,78.8,NA,NA,7
"Chicago","80.000 to 99.999",395.8,395.8,61.5,328.1,NA,NA,15.5,82.9,NA,NA,8
"Chicago","100.000 to 119.999",262.1,260.3,37.9,217.9,NA,NA,14.5,83.1,NA,NA,9
"Chicago","120.000 or more",952,952,136.9,809.3,NA,NA,14.4,85,NA,NA,10
"Dallas","Total",2716.1,2706.4,1960.9,708.9,36.7,NA,72.2,26.1,1.4,NA,11
"Dallas","Less than 10.000",211.5,209.5,149.1,56.1,NA,NA,70.5,26.5,NA,NA,1
"Dallas","10.000 to 19.999",128,126.4,100.2,23.2,NA,NA,78.3,18.1,NA,NA,2
"Dallas","20.000 to 29.999",170.2,170.2,141.8,26.6,NA,NA,83.3,15.6,NA,NA,3
"Dallas","30.000 to 39.999",219.9,219.9,175.5,41.9,NA,NA,79.8,19.1,NA,NA,4
"Dallas","40.000 to 49.999",251.9,251.9,182.3,66.2,NA,NA,72.4,26.3,NA,NA,5
"Dallas","50.000 to 59.999",227.1,224.6,174.2,50.3,NA,NA,76.7,22.1,NA,NA,6
"Dallas","60.000 to 79.999",414.3,414.3,338.9,70.3,NA,NA,81.8,17,NA,NA,7
"Dallas","80.000 to 99.999",279.5,279.5,204.2,73.3,NA,NA,73.1,26.2,NA,NA,8
"Dallas","100.000 to 119.999",195.4,195.4,129.7,62,NA,NA,66.4,31.7,NA,NA,9
"Dallas","120.000 or more",618.3,614.7,364.9,239,NA,NA,59,38.7,NA,NA,10
"Detroit","Total",1710.3,1705.6,832.2,854.5,18,NA,48.7,50,1.1,NA,11
"Detroit","Less than 10.000",157.8,156.9,80.3,75,NA,NA,50.9,47.5,NA,NA,1
"Detroit","10.000 to 19.999",165.2,164,86.3,77.7,NA,NA,52.2,47,NA,NA,2
"Detroit","20.000 to 29.999",163.1,162.4,85.5,73.8,NA,NA,52.4,45.2,NA,NA,3
"Detroit","30.000 to 39.999",119.6,119.6,64.5,53.6,NA,NA,53.9,44.8,NA,NA,4
"Detroit","40.000 to 49.999",121.2,120.8,54,64.7,NA,NA,44.6,53.4,NA,NA,5
"Detroit","50.000 to 59.999",114.2,114.2,50.4,62.3,NA,NA,44.1,54.6,NA,NA,6
"Detroit","60.000 to 79.999",217,215.6,106.5,106.9,NA,NA,49.1,49.3,NA,NA,7
"Detroit","80.000 to 99.999",165.3,165.3,79.9,84.7,NA,NA,48.3,51.2,NA,NA,8
"Detroit","100.000 to 119.999",139.1,139.1,68.2,68.9,NA,NA,49,49.5,NA,NA,9
"Detroit","120.000 or more",347.7,347.7,156.7,186.8,NA,NA,45.1,53.7,NA,NA,10
"Houston","Total",2360.3,2355.8,1289.3,1018.8,47.7,NA,54.6,43.2,2,NA,11
"Houston","Less than 10.000",185.1,185.1,120.3,58.6,NA,NA,65,31.7,NA,NA,1
"Houston","10.000 to 19.999",154.2,153.1,107.7,41.2,NA,NA,69.8,26.7,NA,NA,2
"Houston","20.000 to 29.999",204.8,203.5,145.9,54.2,NA,NA,71.2,26.5,NA,NA,3
"Houston","30.000 to 39.999",212.7,211.9,149.7,58.9,NA,NA,70.4,27.7,NA,NA,4
"Houston","40.000 to 49.999",199.2,199.2,128.6,67.2,NA,NA,64.6,33.7,NA,NA,5
"Houston","50.000 to 59.999",181.4,181.4,100.6,77.3,NA,NA,55.5,42.6,NA,NA,6
"Houston","60.000 to 79.999",304.6,303.3,170.7,125.8,NA,NA,56,41.3,NA,NA,7
"Houston","80.000 to 99.999",240.6,240.6,121.1,117.5,NA,NA,50.3,48.8,NA,NA,8
"Houston","100.000 to 119.999",162.8,162.8,69,91,NA,NA,42.4,55.9,NA,NA,9
"Houston","120.000 or more",515,515,175.6,326.9,12.5,NA,34.1,63.5,2.4,NA,10
"Los.Angeles","Total",4408,4394.4,792,3575.9,26.4,NA,18,81.1,0.6,NA,11
"Los.Angeles","Less than 10.000",308,306.1,79.8,226.3,NA,NA,25.9,73.5,NA,NA,1
"Los.Angeles","10.000 to 19.999",259.7,257.6,56,199.5,NA,NA,21.6,76.8,NA,NA,2
"Los.Angeles","20.000 to 29.999",337,331.5,77.7,253.8,NA,NA,23.1,75.3,NA,NA,3
"Los.Angeles","30.000 to 39.999",337.5,337.5,67.8,267.8,NA,NA,20.1,79.3,NA,NA,4
"Los.Angeles","40.000 to 49.999",289.6,289.6,43.6,244.5,NA,NA,15.1,84.4,NA,NA,5
"Los.Angeles","50.000 to 59.999",284.2,284.2,61.3,216.8,NA,NA,21.6,76.3,NA,NA,6
"Los.Angeles","60.000 to 79.999",512.6,512.6,77.6,435,NA,NA,15.1,84.9,NA,NA,7
"Los.Angeles","80.000 to 99.999",423.6,423.6,58.5,361,NA,NA,13.8,85.2,NA,NA,8
"Los.Angeles","100.000 to 119.999",354.2,352.1,58.7,293.5,NA,NA,16.6,82.9,NA,NA,9
"Los.Angeles","120.000 or more",1301.5,1299.5,211.3,1077.6,NA,NA,16.2,82.8,NA,NA,10
"New.York.City","Total",7344.6,7274.5,1665.8,5363.7,238.2,NA,22.7,73,3.2,NA,11
"New.York.City","Less than 10.000",792,762.2,192.3,558.3,NA,NA,24.3,70.5,NA,NA,1
"New.York.City","10.000 to 19.999",404.6,394.9,139.6,249.4,NA,NA,34.5,61.6,NA,NA,2
"New.York.City","20.000 to 29.999",525.1,513.2,159.7,346.8,NA,NA,30.4,66,NA,NA,3
"New.York.City","30.000 to 39.999",513,513,93.9,404.2,NA,NA,18.3,78.8,NA,NA,4
"New.York.City","40.000 to 49.999",537,534.4,118.9,399.5,NA,NA,22.1,74.4,NA,NA,5
"New.York.City","50.000 to 59.999",462.5,446.7,106.7,309.9,NA,NA,23.1,67,NA,NA,6
"New.York.City","60.000 to 79.999",822.5,822.5,164.1,622.4,NA,NA,20,75.7,NA,NA,7
