"Location","Income.Bin","Total","With cooking fuel","Electricity","Piped gas","Bottled gas","Other","Pct Electricity","Pct Piped gas","Pct Bottled gas","Pct Other","income_order"
"New.York.City","80.000 to 99.999",623.6,623.6,132.4,459.3,NA,NA,21.2,73.7,NA,NA,8
"New.York.City","100.000 to 119.999",536.6,536.6,126.6,386.9,NA,NA,23.6,72.1,NA,NA,9
"New.York.City","120.000 or more",2127.6,2127.6,431.7,1626.7,69.1,NA,20.3,76.5,3.2,NA,10
"Philadelphia","Total",2343.1,2335.4,1128.9,1130.5,76.1,NA,48.2,48.2,3.2,NA,11
"Philadelphia","Less than 10.000",197.7,194.6,84.8,109.8,NA,NA,42.9,55.5,NA,NA,1
"Philadelphia","10.000 to 19.999",142.1,142.1,66.7,71.5,NA,NA,46.9,50.3,NA,NA,2
"Philadelphia","20.000 to 29.999",150.8,149.3,69.1,74.7,NA,NA,45.8,49.5,NA,NA,3
"Philadelphia","30.000 to 39.999",156.6,155.5,67,84.8,NA,NA,42.8,54.2,NA,NA,4
"Philadelphia","40.000 to 49.999",172.1,172.1,73.6,92.4,NA,NA,42.8,53.7,NA,NA,5
"Philadelphia","50.000 to 59.999",140.2,139.1,70.3,68.8,NA,NA,50.1,49.1,NA,NA,6
"Philadelphia","60.000 to 79.999",309,309,161.9,140.3,NA,NA,52.4,45.4,NA,NA,7
"Philadelphia","80.000 to 99.999",216.7,216.7,117.1,95.2,NA,NA,54,43.9,NA,NA,8
"Philadelphia","100.000 to 119.999",182,181.1,106,70.8,NA,NA,58.2,38.9,NA,NA,9
"Philadelphia","120.000 or more",675.9,675.9,312.4,322.2,41.3,NA,46.2,47.7,6.1,NA,10
"Phoenix","Total",1743.2,1736.7,1349.1,358.3,27.6,NA,77.4,20.6,1.6,NA,11
"Phoenix","Less than 10.000",160.1,160.1,131.5,26,NA,NA,82.1,16.2,NA,NA,1
"Phoenix","10.000 to 19.999",107.3,105.4,81.4,22.4,NA,NA,75.9,20.9,NA,NA,2
"Phoenix","20.000 to 29.999",137.9,136.9,108.3,23.2,NA,NA,78.5,16.8,NA,NA,3
"Phoenix","30.000 to 39.999",156.1,155.3,125.5,27.2,NA,NA,80.4,17.4,NA,NA,4
"Phoenix","40.000 to 49.999",110.6,108.7,91.4,17.3,NA,NA,82.6,15.6,NA,NA,5
"Phoenix","50.000 to 59.999",144.2,144.2,114.1,25.6,NA,NA,79.1,17.8,NA,NA,6
"Phoenix","60.000 to 79.999",221.6,220.6,186.9,30.9,NA,NA,84.3,13.9,NA,NA,7
"Phoenix","80.000 to 99.999",183.2,183.2,138.3,43.3,NA,NA,75.5,23.6,NA,NA,8
"Phoenix","100.000 to 119.999",156.6,156.6,109.4,44.8,NA,NA,69.9,28.6,NA,NA,9
"Phoenix","120.000 or more",365.8,365.8,262.2,97.7,NA,NA,71.7,26.7,NA,NA,10
"Riverside","Total",1376.9,1374.5,219.1,1115.5,39.9,NA,15.9,81,2.9,NA,11
"Riverside","Less than 10.000",111.4,111.4,21,83.3,7.1,NA,18.9,74.8,6.4,NA,1
"Riverside","10.000 to 19.999",90.5,89.4,18.4,66.8,NA,NA,20.3,73.8,NA,NA,2
"Riverside","20.000 to 29.999",107.4,107.4,21.4,82.5,NA,NA,19.9,76.8,NA,NA,3
"Riverside","30.000 to 39.999",116.6,116,20.8,89.1,6.1,NA,17.8,76.4,5.2,NA,4
"Riverside","40.000 to 49.999",97.7,97.7,21,74.8,NA,NA,21.5,76.6,NA,NA,5
"Riverside","50.000 to 59.999",99,99,16.4,79,NA,NA,16.6,79.8,NA,NA,6
"Riverside","60.000 to 79.999",180.7,180.7,30.1,147.7,NA,NA,16.7,81.7,NA,NA,7
"Riverside","80.000 to 99.999",143.8,143.8,21.5,118.5,NA,NA,15,82.4,NA,NA,8
"Riverside","100.000 to 119.999",111.8,111.8,13.9,97.3,NA,NA,12.4,87,NA,NA,9
"Riverside","120.000 or more",318.1,317.5,34.6,276.5,6.4,NA,10.9,86.9,2,NA,10
"San.Francisco","Total",1713.4,1704.8,667,1023.2,14.5,NA,38.9,59.7,0.8,NA,11
"San.Francisco","Less than 10.000",98.6,97.9,56.5,39.9,NA,NA,57.3,40.5,NA,NA,1
"San.Francisco","10.000 to 19.999",88.2,85.3,52.2,33.1,NA,NA,59.2,37.5,NA,NA,2
"San.Francisco","20.000 to 29.999",75.7,72.4,32.4,40,NA,NA,42.8,52.8,NA,NA,3
"San.Francisco","30.000 to 39.999",70.8,70.8,33.5,36.6,NA,NA,47.3,51.7,NA,NA,4
"San.Francisco","40.000 to 49.999",80,80,42.3,35.9,NA,NA,52.9,44.9,NA,NA,5
"San.Francisco","50.000 to 59.999",82.8,82.8,33.6,48.6,NA,NA,40.6,58.7,NA,NA,6
"San.Francisco","60.000 to 79.999",157.3,157.3,66.2,90.5,NA,NA,42.1,57.5,NA,NA,7
"San.Francisco","80.000 to 99.999",139.4,139.4,56.2,81.5,NA,NA,40.3,58.5,NA,NA,8
"San.Francisco","100.000 to 119.999",136.1,135.2,52.7,81.7,NA,NA,38.7,60,NA,NA,9
"San.Francisco","120.000 or more",784.6,783.7,241.6,535.2,NA,NA,30.8,68.2,NA,NA,10
"Seattle","Total",1527.6,1525.3,1094.5,395.6,33.6,NA,71.6,25.9,2.2,NA,11
"Seattle","Less than 10.000",61.1,60.3,53.8,NA,NA,NA,88.1,NA,NA,NA,1
"Seattle","10.000 to 19.999",70.4,70.4,64.8,NA,NA,NA,92,NA,NA,NA,2
"Seattle","20.000 to 29.999",80.8,80.8,68.1,12.6,NA,NA,84.3,15.6,NA,NA,3
"Seattle","30.000 to 39.999",99.3,99.3,78.6,18.3,NA,NA,79.2,18.4,NA,NA,4
"Seattle","40.000 to 49.999",85.8,85.8,74.2,11.2,NA,NA,86.5,13.1,NA,NA,5
"Seattle","50.000 to 59.999",97.1,97.1,86.4,10.7,NA,NA,89,11,NA,NA,6
"Seattle","60.000 to 79.999",174.1,173.4,140.9,27.4,NA,NA,80.9,15.7,NA,NA,7
"Seattle","80.000 to 99.999",152.1,151.2,114.9,32.9,NA,NA,75.5,21.6,NA,NA,8
"Seattle","100.000 to 119.999",120.7,120.7,88.4,27.3,NA,NA,73.2,22.6,NA,NA,9
"Seattle","120.000 or more",586.3,586.3,324.2,245,16.3,NA,55.3,41.8,2.8,NA,10
"Washington.DC","Total",2245.9,2217.8,1094.5,1071.3,51.9,NA,48.7,47.7,2.3,NA,11
"Washington.DC","Less than 10.000",136,125.6,60.8,58.6,NA,NA,44.7,43.1,NA,NA,1
"Washington.DC","10.000 to 19.999",88.9,85.5,50.8,32.7,NA,NA,57.1,36.8,NA,NA,2
"Washington.DC","20.000 to 29.999",87.9,87,49.6,35.8,NA,NA,56.4,40.7,NA,NA,3
"Washington.DC","30.000 to 39.999",121.1,115.2,67.1,44.4,NA,NA,55.4,36.7,NA,NA,4
"Washington.DC","40.000 to 49.999",106.9,106.9,62.2,44.7,NA,NA,58.2,41.8,NA,NA,5
"Washington.DC","50.000 to 59.999",117.9,117.9,66.3,44.8,NA,NA,56.2,38,NA,NA,6
"Washington.DC","60.000 to 79.999",257.8,256.8,129.7,125.3,NA,NA,50.3,48.6,NA,NA,7
"Washington.DC","80.000 to 99.999",209.1,208.3,104.7,101.9,NA,NA,50.1,48.7,NA,NA,8
"Washington.DC","100.000 to 119.999",173.5,171.1,96.7,71.2,NA,NA,55.7,41,NA,NA,9
"Washington.DC","120.000 or more",946.6,943.5,406.7,511.9,24.8,NA,43,54.1,2.6,NA,10
"Nationwide","Total",124135,123672,74452,43469,5648,103,60,35,4.5,0.1,11
"Nationwide","Less than 10.000",10316,10186,6463,3300,392,32,62.7,32,3.8,0.3,1
"Nationwide","10.000 to 19.999",10312,10213,6922,2782,509,NA,67.1,27,4.9,NA,2
"Nationwide","20.000 to 29.999",10481,10407,6787,3088,519,NA,64.8,29.5,5,NA,3
"Nationwide","30.000 to 39.999",11009,10978,7186,3259,532,NA,65.3,29.6,4.8,NA,4
"Nationwide","40.000 to 49.999",9656,9624,6160,3072,385,NA,63.8,31.8,4,NA,5
"Nationwide","50.000 to 59.999",9280,9257,5851,2990,412,NA,63,32.2,4.4,NA,6
"Nationwide","60.000 to 79.999",15803,15783,9885,5139,752,NA,62.6,32.5,4.8,NA,7
"Nationwide","80.000 to 99.999",11589,11575,6946,4085,534,NA,59.9,35.2,4.6,NA,8
"Nationwide","100.000 to 119.999",9193,9177,5351,3398,421,NA,58.2,37,4.6,NA,9
"Nationwide","120.000 or more",26495,26472,12901,12355,1193,NA,48.7,46.6,4.5,NA,10
