"Location","Year.Built.Bin","Total","With cooking fuel","Electricity","Piped gas","Bottled gas","Other","Pct Electricity","Pct Piped gas","Pct Bottled gas","Pct Other","year_built_order"
"Atlanta","Total",2162.4,2157.4,1199.1,921.1,37.2,NA,55.5,42.6,1.7,NA,12
"Atlanta","2018 to 2019",19.2,19.2,NA,NA,NA,NA,NA,NA,NA,NA,11
"Atlanta","2016 to 2017",61.2,61.2,33.5,27.7,NA,NA,54.7,45.3,NA,NA,10
"Atlanta","2010 to 2015",131.8,130.8,66.1,63.6,NA,NA,50.2,48.3,NA,NA,9
"Atlanta","2000 to 2009",546,545.1,291.7,245.8,NA,NA,53.4,45,NA,NA,8
"Atlanta","1990 to 1999",422.9,422.9,212.4,202.2,NA,NA,50.2,47.8,NA,NA,7
"Atlanta","1980 to 1989",406.5,405.8,243.8,156.4,NA,NA,60,38.5,NA,NA,6
"Atlanta","1970 to 1979",229.5,228.5,153.5,70.3,NA,NA,66.9,30.6,NA,NA,5
"Atlanta","1960 to 1969",147.7,147.7,97.5,47.6,NA,NA,66,32.2,NA,NA,4
"Atlanta","1950 to 1959",85.6,85.6,43.2,41.5,NA,NA,50.5,48.5,NA,NA,3
"Atlanta","1940 to 1949",44.6,43.2,25.7,15.5,NA,NA,57.6,34.8,NA,NA,2
"Atlanta","1939 or earlier",67.5,67.5,25.5,37.4,NA,NA,37.8,55.4,NA,NA,1
"Boston","Total",1884.2,1883.3,885.2,901.5,96.6,NA,47,47.8,5.1,NA,12
"Boston","2018 to 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"Boston","2016 to 2017",26,26,NA,NA,NA,NA,NA,NA,NA,NA,10
"Boston","2010 to 2015",61.4,61.4,32.3,22,NA,NA,52.6,35.8,NA,NA,9
"Boston","2000 to 2009",136.4,136.4,65.5,56.2,14.7,NA,48,41.2,10.8,NA,8
"Boston","1990 to 1999",104.3,104.3,48.2,42.8,13.3,NA,46.2,41,12.8,NA,7
"Boston","1980 to 1989",181.9,181.9,125.9,48.3,NA,NA,69.2,26.6,NA,NA,6
"Boston","1970 to 1979",189.4,189.4,109.4,62,18,NA,57.8,32.7,9.5,NA,5
"Boston","1960 to 1969",193.5,193.5,116.2,72,NA,NA,60.1,37.2,NA,NA,4
"Boston","1950 to 1959",204.4,203.5,100.3,96.1,NA,NA,49.1,47,NA,NA,3
"Boston","1940 to 1949",94.3,94.3,41.7,47.8,NA,NA,44.2,50.7,NA,NA,2
"Boston","1939 or earlier",672.1,672.1,227,431,14.1,NA,33.8,64.1,2.1,NA,1
"Chicago","Total",3554.7,3549.1,711.4,2809,22.2,NA,20,79,0.6,NA,12
"Chicago","2018 to 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"Chicago","2016 to 2017",35,35,NA,29.6,NA,NA,NA,84.6,NA,NA,10
"Chicago","2010 to 2015",58.9,58.9,23.1,35.8,NA,NA,39.2,60.8,NA,NA,9
"Chicago","2000 to 2009",416.5,416.5,64.4,349.6,NA,NA,15.5,83.9,NA,NA,8
"Chicago","1990 to 1999",372.9,372.9,71.8,297.9,NA,NA,19.3,79.9,NA,NA,7
"Chicago","1980 to 1989",365.2,365.2,103.1,256.2,NA,NA,28.2,70.2,NA,NA,6
"Chicago","1970 to 1979",422.8,419,115.2,303.8,NA,NA,27.2,71.9,NA,NA,5
"Chicago","1960 to 1969",428.8,428.8,110,315.3,NA,NA,25.7,73.5,NA,NA,4
"Chicago","1950 to 1959",452.7,452.7,74.4,374.8,NA,NA,16.4,82.8,NA,NA,3
"Chicago","1940 to 1949",209.9,209.9,40.7,167.4,NA,NA,19.4,79.8,NA,NA,2
"Chicago","1939 or earlier",779.2,777.3,100.6,668.5,NA,NA,12.9,85.8,NA,NA,1
"Dallas","Total",2716.1,2706.4,1960.9,708.9,36.7,NA,72.2,26.1,1.4,NA,12
"Dallas","2018 to 2019",44.5,44.5,26.4,NA,NA,NA,59.3,NA,NA,NA,11
"Dallas","2016 to 2017",112.1,112.1,74.7,36.4,NA,NA,66.6,32.5,NA,NA,10
"Dallas","2010 to 2015",239.9,239.9,172.5,64.5,NA,NA,71.9,26.9,NA,NA,9
"Dallas","2000 to 2009",583.2,581.2,420.8,147.3,NA,NA,72.2,25.3,NA,NA,8
"Dallas","1990 to 1999",416,413,324.8,85.3,NA,NA,78.1,20.5,NA,NA,7
"Dallas","1980 to 1989",477.9,476.3,405.3,66.1,NA,NA,84.8,13.8,NA,NA,6
"Dallas","1970 to 1979",326.4,323.1,266.1,54,NA,NA,81.5,16.5,NA,NA,5
"Dallas","1960 to 1969",216,216,136.1,76.2,NA,NA,63,35.3,NA,NA,4
"Dallas","1950 to 1959",188,188,74.4,113.5,NA,NA,39.6,60.4,NA,NA,3
"Dallas","1940 to 1949",51.5,51.5,26.3,23.7,NA,NA,51.1,46,NA,NA,2
"Dallas","1939 or earlier",60.6,60.6,33.4,23.6,NA,NA,55.1,38.9,NA,NA,1
"Detroit","Total",1710.3,1705.6,832.2,854.5,18,NA,48.7,50,1.1,NA,12
"Detroit","2018 to 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"Detroit","2016 to 2017",14.4,14.4,NA,NA,NA,NA,NA,NA,NA,NA,10
"Detroit","2010 to 2015",29.8,29.8,13.9,14.5,NA,NA,46.6,48.7,NA,NA,9
"Detroit","2000 to 2009",156.4,155.2,81.8,68.6,NA,NA,52.3,43.9,NA,NA,8
"Detroit","1990 to 1999",207,207,110.8,92.8,NA,NA,53.5,44.8,NA,NA,7
"Detroit","1980 to 1989",159.5,157.6,101.7,53.6,NA,NA,63.8,33.6,NA,NA,6
"Detroit","1970 to 1979",246,246,126.2,117.7,NA,NA,51.3,47.8,NA,NA,5
"Detroit","1960 to 1969",208.1,208.1,100,108.1,NA,NA,48.1,51.9,NA,NA,4
"Detroit","1950 to 1959",334.5,333.8,147,184.4,NA,NA,43.9,55.1,NA,NA,3
"Detroit","1940 to 1949",148.5,148.5,61.8,86.8,NA,NA,41.6,58.5,NA,NA,2
"Detroit","1939 or earlier",200.5,199.6,80.1,117,NA,NA,40,58.4,NA,NA,1
"Houston","Total",2360.3,2355.8,1289.3,1018.8,47.7,NA,54.6,43.2,2,NA,12
"Houston","2018 to 2019",41.1,41.1,17.7,23.3,NA,NA,43.1,56.7,NA,NA,11
"Houston","2016 to 2017",96.2,96.2,39.4,54.5,NA,NA,41,56.7,NA,NA,10
"Houston","2010 to 2015",250.1,250.1,112.9,131,NA,NA,45.1,52.4,NA,NA,9
"Houston","2000 to 2009",471.7,470.4,222.4,234.3,13.8,NA,47.1,49.7,2.9,NA,8
"Houston","1990 to 1999",286.6,286.6,156.8,120.9,NA,NA,54.7,42.2,NA,NA,7
"Houston","1980 to 1989",365.5,364.2,256.2,106,NA,NA,70.1,29,NA,NA,6
"Houston","1970 to 1979",374.7,373.9,257.9,108.4,NA,NA,68.8,28.9,NA,NA,5
"Houston","1960 to 1969",204,204,120,79.1,NA,NA,58.8,38.8,NA,NA,4
"Houston","1950 to 1959",131.6,130.5,53.7,76.7,NA,NA,40.8,58.3,NA,NA,3
"Houston","1940 to 1949",78.3,78.3,34,43,NA,NA,43.4,54.9,NA,NA,2
"Houston","1939 or earlier",60.6,60.6,18.3,41.6,NA,NA,30.2,68.6,NA,NA,1
"Los.Angeles","Total",4408,4394.4,792,3575.9,26.4,NA,18,81.1,0.6,NA,12
"Los.Angeles","2018 to 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"Los.Angeles","2016 to 2017",51.4,51.4,25.1,NA,NA,NA,48.8,NA,NA,NA,10
"Los.Angeles","2010 to 2015",108.9,106.8,26.3,80.5,NA,NA,24.2,73.9,NA,NA,9
"Los.Angeles","2000 to 2009",283.8,283.8,36.9,246.9,NA,NA,13,87,NA,NA,8
"Los.Angeles","1990 to 1999",283.5,283.5,38,243.9,NA,NA,13.4,86,NA,NA,7
"Los.Angeles","1980 to 1989",525.5,525.5,100.1,423.2,NA,NA,19,80.5,NA,NA,6
"Los.Angeles","1970 to 1979",647.7,645.6,183,456.5,NA,NA,28.3,70.5,NA,NA,5
"Los.Angeles","1960 to 1969",735.5,735.5,187,544.3,NA,NA,25.4,74,NA,NA,4
"Los.Angeles","1950 to 1959",856.8,852.7,110.7,737.9,NA,NA,12.9,86.1,NA,NA,3
"Los.Angeles","1940 to 1949",328.7,327.1,26.2,299,NA,NA,8,91,NA,NA,2
"Los.Angeles","1939 or earlier",572.8,569,58.7,504,NA,NA,10.2,88,NA,NA,1
"New.York.City","Total",7344.6,7274.5,1665.8,5363.7,238.2,NA,22.7,73,3.2,NA,12
"New.York.City","2018 to 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"New.York.City","2016 to 2017",48.3,48.3,NA,NA,NA,NA,NA,NA,NA,NA,10
"New.York.City","2010 to 2015",145.6,145.6,NA,106.8,NA,NA,NA,73.4,NA,NA,9
"New.York.City","2000 to 2009",502.4,496,119,357.7,NA,NA,23.7,71.2,NA,NA,8
"New.York.City","1990 to 1999",462.3,441.7,158.8,273.6,NA,NA,34.3,59.2,NA,NA,7
"New.York.City","1980 to 1989",680,665.1,210.4,423.3,NA,NA,30.9,62.3,NA,NA,6
"New.York.City","1970 to 1979",611.1,610.6,219.5,377.9,NA,NA,35.9,61.8,NA,NA,5
"New.York.City","1960 to 1969",1098.5,1098.5,291.3,766.8,NA,NA,26.5,69.8,NA,NA,4
"New.York.City","1950 to 1959",1097.1,1093.8,256.2,787.2,50.4,NA,23.4,71.8,4.6,NA,3
"New.York.City","1940 to 1949",574.7,570,115.1,434.9,NA,NA,20,75.7,NA,NA,2
"New.York.City","1939 or earlier",2085.6,2066,249.5,1761.9,NA,NA,12,84.5,NA,NA,1
"Philadelphia","Total",2343.1,2335.4,1128.9,1130.5,76.1,NA,48.2,48.2,3.2,NA,12
"Philadelphia","2018 to 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"Philadelphia","2016 to 2017",37.4,37.4,NA,NA,NA,NA,NA,NA,NA,NA,10
"Philadelphia","2010 to 2015",73.9,73.9,36.7,37.3,NA,NA,49.7,50.5,NA,NA,9
"Philadelphia","2000 to 2009",166.4,166.4,81.8,69.2,NA,NA,49.2,41.6,NA,NA,8
"Philadelphia","1990 to 1999",184.6,183.1,83.6,87.2,NA,NA,45.3,47.2,NA,NA,7
"Philadelphia","1980 to 1989",237.4,237.4,142.3,82.7,NA,NA,59.9,34.8,NA,NA,6
"Philadelphia","1970 to 1979",269.3,269.3,163.2,95.1,NA,NA,60.6,35.3,NA,NA,5
"Philadelphia","1960 to 1969",314.7,312.4,147.3,157.9,NA,NA,46.8,50.2,NA,NA,4
"Philadelphia","1950 to 1959",323.1,323.1,153.8,165.6,NA,NA,47.6,51.3,NA,NA,3
"Philadelphia","1940 to 1949",142.5,139.8,67.1,70.7,NA,NA,47.1,49.6,NA,NA,2
"Philadelphia","1939 or earlier",587.6,586.5,233.2,344.8,NA,NA,39.7,58.7,NA,NA,1
"Phoenix","Total",1743.2,1736.7,1349.1,358.3,27.6,NA,77.4,20.6,1.6,NA,12
"Phoenix","2018 to 2019",25.3,25.3,17.3,NA,NA,NA,68.4,NA,NA,NA,11
"Phoenix","2016 to 2017",65.6,65.6,36,26.6,NA,NA,54.9,40.5,NA,NA,10
"Phoenix","2010 to 2015",86,86,45.1,40.2,NA,NA,52.4,46.7,NA,NA,9
"Phoenix","2000 to 2009",447.2,446.2,347.7,88.9,9.2,NA,77.8,19.9,2.1,NA,8
"Phoenix","1990 to 1999",283.6,281.9,230.6,49.3,NA,NA,81.3,17.4,NA,NA,7
"Phoenix","1980 to 1989",328.2,328.2,298.4,25.1,NA,NA,90.9,7.6,NA,NA,6
"Phoenix","1970 to 1979",267.4,265.5,227.3,35,NA,NA,85,13.1,NA,NA,5
"Phoenix","1960 to 1969",102.6,102.6,74.8,25.4,NA,NA,72.9,24.8,NA,NA,4
"Phoenix","1950 to 1959",103.8,101.8,55.6,43.6,NA,NA,53.6,42,NA,NA,3
"Phoenix","1940 to 1949",14.9,14.9,NA,NA,NA,NA,NA,NA,NA,NA,2
"Phoenix","1939 or earlier",18.8,18.8,NA,NA,NA,NA,NA,NA,NA,NA,1
"Riverside","Total",1376.9,1374.5,219.1,1115.5,39.9,NA,15.9,81,2.9,NA,12
"Riverside","2018 to 2019",14,14,NA,14,NA,NA,NA,100,NA,NA,11
"Riverside","2016 to 2017",27.3,27.3,NA,22.8,NA,NA,NA,83.5,NA,NA,10
"Riverside","2010 to 2015",49.8,49.8,10.5,39,NA,NA,21.1,78.3,NA,NA,9
"Riverside","2000 to 2009",274,274,29.6,237.9,6.5,NA,10.8,86.8,2.4,NA,8
"Riverside","1990 to 1999",185.1,185.1,24,154.1,7,NA,13,83.3,3.8,NA,7
"Riverside","1980 to 1989",332.4,332.4,64,257.5,10.9,NA,19.3,77.5,3.3,NA,6
"Riverside","1970 to 1979",191.6,191,40.4,142.3,8.2,NA,21.1,74.3,4.3,NA,5
"Riverside","1960 to 1969",119.3,119.3,24.1,92.9,NA,NA,20.2,77.9,NA,NA,4
"Riverside","1950 to 1959",108.7,107.4,16.9,88.1,NA,NA,15.5,81,NA,NA,3
"Riverside","1940 to 1949",41.7,41.2,NA,38.2,NA,NA,NA,91.6,NA,NA,2
"Riverside","1939 or earlier",32.9,32.9,NA,28.7,NA,NA,NA,87.2,NA,NA,1
"San.Francisco","Total",1713.4,1704.8,667,1023.2,14.5,NA,38.9,59.7,0.8,NA,12
"San.Francisco","2018 to 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"San.Francisco","2016 to 2017",16.8,16.8,NA,NA,NA,NA,NA,NA,NA,NA,10
"San.Francisco","2010 to 2015",39.9,39.9,15.6,23.7,NA,NA,39.1,59.4,NA,NA,9
"San.Francisco","2000 to 2009",119.8,119.8,38.9,79.9,NA,NA,32.5,66.7,NA,NA,8
"San.Francisco","1990 to 1999",136.7,136.7,56.8,78.5,NA,NA,41.6,57.4,NA,NA,7
"San.Francisco","1980 to 1989",195.1,193.5,114.1,78.7,NA,NA,58.5,40.3,NA,NA,6
"San.Francisco","1970 to 1979",212.1,212.1,134.8,74.6,NA,NA,63.6,35.2,NA,NA,5
"San.Francisco","1960 to 1969",244.6,242.4,125.1,112.5,NA,NA,51.1,46,NA,NA,4
"San.Francisco","1950 to 1959",230.6,228,76.6,149.9,NA,NA,33.2,65,NA,NA,3
"San.Francisco","1940 to 1949",158.4,157.5,38,119.5,NA,NA,24,75.4,NA,NA,2
"San.Francisco","1939 or earlier",353,351.8,63.2,287.7,NA,NA,17.9,81.5,NA,NA,1
"Seattle","Total",1527.6,1525.3,1094.5,395.6,33.6,NA,71.6,25.9,2.2,NA,12
"Seattle","2018 to 2019",26,25.1,NA,11.8,NA,NA,NA,45.4,NA,NA,11
"Seattle","2016 to 2017",52.5,52.5,25.5,24,NA,NA,48.6,45.7,NA,NA,10
"Seattle","2010 to 2015",77.3,77.3,50.6,23.8,NA,NA,65.5,30.8,NA,NA,9
"Seattle","2000 to 2009",226.3,226.3,127.9,89.2,NA,NA,56.5,39.4,NA,NA,8
"Seattle","1990 to 1999",197.7,197.7,135.3,58.7,NA,NA,68.4,29.7,NA,NA,7
"Seattle","1980 to 1989",232.3,232.3,197.1,32.2,NA,NA,84.8,13.9,NA,NA,6
"Seattle","1970 to 1979",209.7,209.7,180.9,24.1,NA,NA,86.3,11.5,NA,NA,5
"Seattle","1960 to 1969",162.6,162,131.9,28.8,NA,NA,81.1,17.7,NA,NA,4
"Seattle","1950 to 1959",109.8,109.8,86,22.2,NA,NA,78.3,20.2,NA,NA,3
"Seattle","1940 to 1949",68.5,68.5,48,18.5,NA,NA,70.1,27,NA,NA,2
"Seattle","1939 or earlier",165,164.2,99.3,62.4,NA,NA,60.2,37.8,NA,NA,1
"Washington.DC","Total",2245.9,2217.8,1094.5,1071.3,51.9,NA,48.7,47.7,2.3,NA,12
"Washington.DC","2018 to 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"Washington.DC","2016 to 2017",56.6,56.6,26.6,28.9,NA,NA,47,51.1,NA,NA,10
"Washington.DC","2010 to 2015",130.7,129.7,60.7,69,NA,NA,46.4,52.8,NA,NA,9
"Washington.DC","2000 to 2009",325.8,324.7,121.9,192.5,NA,NA,37.4,59.1,NA,NA,8
"Washington.DC","1990 to 1999",304.4,302.5,153.1,140.6,NA,NA,50.3,46.2,NA,NA,7
"Washington.DC","1980 to 1989",354.5,343.1,255.6,79.3,NA,NA,72.1,22.4,NA,NA,6
"Washington.DC","1970 to 1979",281,278,172.7,94.5,NA,NA,61.5,33.6,NA,NA,5
"Washington.DC","1960 to 1969",274.7,269.1,100.7,164.3,NA,NA,36.7,59.8,NA,NA,4
"Washington.DC","1950 to 1959",204.9,203.2,80.9,120.4,NA,NA,39.5,58.8,NA,NA,3
"Washington.DC","1940 to 1949",124.3,122,45.4,72.5,NA,NA,36.5,58.3,NA,NA,2
"Washington.DC","1939 or earlier",176.7,176.7,73.2,100.7,NA,NA,41.4,57,NA,NA,1
"Nationwide","Total",124135,123672,74452,43469,5648,103,60,35,4.5,0.1,12
"Nationwide","2018 to 2019",986,985,498,430,NA,NA,50.5,43.6,NA,NA,11
"Nationwide","2016 to 2017",2474,2447,1460,836,151,NA,59,33.8,6.1,NA,10
"Nationwide","2010 to 2015",5459,5428,3467,1742,219,NA,63.5,31.9,4,NA,9
"Nationwide","2000 to 2009",17348,17309,10823,5534,932,NA,62.4,31.9,5.4,NA,8
"Nationwide","1990 to 1999",15979,15895,10531,4422,936,NA,65.9,27.7,5.9,NA,7
"Nationwide","1980 to 1989",16435,16357,11440,4111,779,NA,69.6,25,4.7,NA,6
